A0: 178
2025-02-13 14:55:10.521931Ax: 1023
2025-02-13 14:55:10.522139A1: 493
2025-02-13 14:55:10.522241A0: 178
2025-02-13 14:55:11.545784Ax: 1023
2025-02-13 14:55:11.546035A1: 492
2025-02-13 14:55:11.546167A0: 179
2025-02-13 14:55:12.569269Ax: 1023
2025-02-13 14:55:12.569623A1: 493
2025-02-13 14:55:12.569863A0: 179
2025-02-13 14:55:13.593174Ax: 1023
2025-02-13 14:55:13.593420A1: 493
2025-02-13 14:55:13.593620A0: 179
2025-02-13 14:55:14.616346Ax: 1023
2025-02-13 14:55:14.616460A1: 493
2025-02-13 14:55:14.616561A0: 177
2025-02-13 14:55:15.640643Ax: 1023
2025-02-13 14:55:15.640896A1: 493
2025-02-13 14:55:15.640999A0: 179
2025-02-13 14:55:16.664338Ax: 1023
2025-02-13 14:55:16.664583A1: 493
2025-02-13 14:55:16.664829A0: 180
2025-02-13 14:55:17.687945Ax: 1023
2025-02-13 14:55:17.690642A1: 492
2025-02-13 14:55:17.690818A0: 178
2025-02-13 14:55:18.711770Ax: 1023
2025-02-13 14:55:18.712017A1: 493
2025-02-13 14:55:18.712221A0: 178
2025-02-13 14:55:19.735589Ax: 1023
2025-02-13 14:55:19.735798A1: 493
2025-02-13 14:55:19.735904A0: 179
2025-02-13 14:55:20.759383Ax: 1023
2025-02-13 14:55:20.759627A1: 493
2025-02-13 14:55:20.759786A0: 179
2025-02-13 14:55:21.783167Ax: 1023
2025-02-13 14:55:21.783414A1: 493
2025-02-13 14:55:21.783616A0: 180
2025-02-13 14:55:22.806987Ax: 1023
2025-02-13 14:55:22.809406A1: 492
2025-02-13 14:55:22.809650A0: 179
2025-02-13 14:55:23.830256Ax: 1023
2025-02-13 14:55:23.830498A1: 493
2025-02-13 14:55:23.830733A0: 179
2025-02-13 14:55:24.854117Ax: 1023
2025-02-13 14:55:24.854366A1: 493
2025-02-13 14:55:24.854541A0: 179
2025-02-13 14:55:25.877595Ax: 1023
2025-02-13 14:55:25.877744A1: 493
2025-02-13 14:55:25.877854A0: 179
2025-02-13 14:55:26.901569Ax: 1023
2025-02-13 14:55:26.901866A1: 491
2025-02-13 14:55:26.902073A0: 178
2025-02-13 14:55:27.925624Ax: 1023
2025-02-13 14:55:27.925937A1: 493
2025-02-13 14:55:27.926139A0: 178
2025-02-13 14:55:28.949319Ax: 1023
2025-02-13 14:55:28.949505A1: 492
2025-02-13 14:55:28.949747A0: 179
2025-02-13 14:55:29.973209Ax: 1023
2025-02-13 14:55:29.973463A1: 493
2025-02-13 14:55:29.973666A0: 179
2025-02-13 14:55:30.997004Ax: 1023
2025-02-13 14:55:30.997218A1: 494
2025-02-13 14:55:30.997324A0: 179
2025-02-13 14:55:32.020684Ax: 1023
2025-02-13 14:55:32.020995A1: 493
2025-02-13 14:55:32.021200A0: 178
2025-02-13 14:55:33.044483Ax: 1023
2025-02-13 14:55:33.044797A1: 493
2025-02-13 14:55:33.045008A0: 178
2025-02-13 14:55:34.068239Ax: 1023
2025-02-13 14:55:34.068486A1: 493
2025-02-13 14:55:34.068692A0: 179
2025-02-13 14:55:35.092043Ax: 1023
2025-02-13 14:55:35.092175A1: 493
2025-02-13 14:55:35.092278A0: 179
2025-02-13 14:55:36.115866Ax: 1023
2025-02-13 14:55:36.116043A1: 490
2025-02-13 14:55:36.116149A0: 178
2025-02-13 14:55:37.139487Ax: 1023
2025-02-13 14:55:37.139753A1: 493
2025-02-13 14:55:37.139968A0: 178
2025-02-13 14:55:38.163566Ax: 1023
2025-02-13 14:55:38.163848A1: 492
2025-02-13 14:55:38.163969A0: 179
2025-02-13 14:55:39.186888Ax: 1023
2025-02-13 14:55:39.187136A1: 494
2025-02-13 14:55:39.187314A0: 178
2025-02-13 14:55:40.211098Ax: 1023
2025-02-13 14:55:40.211332A1: 493
2025-02-13 14:55:40.211524A0: 179
2025-02-13 14:55:41.234892Ax: 1023
2025-02-13 14:55:41.235129A1: 491
2025-02-13 14:55:41.235319A0: 178
2025-02-13 14:55:42.258648Ax: 1023
2025-02-13 14:55:42.258873A1: 493
2025-02-13 14:55:42.258972A0: 179
2025-02-13 14:55:43.282454Ax: 1023
2025-02-13 14:55:43.282682A1: 492
2025-02-13 14:55:43.282833A0: 179
2025-02-13 14:55:44.306329Ax: 1023
2025-02-13 14:55:44.306563A1: 493
2025-02-13 14:55:44.306689A0: 179
2025-02-13 14:55:45.329821Ax: 1023
2025-02-13 14:55:45.330058A1: 493
2025-02-13 14:55:45.330245A0: 179
2025-02-13 14:55:46.353787Ax: 1023
2025-02-13 14:55:46.354029A1: 494
2025-02-13 14:55:46.354220A0: 178
2025-02-13 14:55:47.377560Ax: 1023
2025-02-13 14:55:47.377790A1: 493
2025-02-13 14:55:47.377890A0: 178
2025-02-13 14:55:48.401361Ax: 1023
2025-02-13 14:55:48.401533A1: 494
2025-02-13 14:55:48.401630A0: 178
2025-02-13 14:55:49.425126Ax: 1023
2025-02-13 14:55:49.425358A1: 494
2025-02-13 14:55:49.425463A0: 178
2025-02-13 14:55:50.448894Ax: 1023
2025-02-13 14:55:50.449127A1: 493
2025-02-13 14:55:50.449314A0: 179
2025-02-13 14:55:51.472633Ax: 1023
2025-02-13 14:55:51.472913A1: 493
2025-02-13 14:55:51.473102A0: 178
2025-02-13 14:55:52.496479Ax: 1023
2025-02-13 14:55:52.496624A1: 495
2025-02-13 14:55:52.496755A0: 178
2025-02-13 14:55:53.520258Ax: 1023
2025-02-13 14:55:53.520405A1: 493
2025-02-13 14:55:53.520501A0: 178
2025-02-13 14:55:54.544129Ax: 1023
2025-02-13 14:55:54.544370A1: 493
2025-02-13 14:55:54.544561A0: 179
2025-02-13 14:55:55.567899Ax: 1023
2025-02-13 14:55:55.568132A1: 493
2025-02-13 14:55:55.568257A0: 177
2025-02-13 14:55:56.591619Ax: 1023
2025-02-13 14:55:56.591904A1: 494
2025-02-13 14:55:56.592076A0: 178
2025-02-13 14:55:57.615497Ax: 1023
2025-02-13 14:55:57.618321A1: 494
2025-02-13 14:55:57.618538A0: 177
2025-02-13 14:55:58.639320Ax: 1023
2025-02-13 14:55:58.639555A1: 494
2025-02-13 14:55:58.639805A0: 179
2025-02-13 14:55:59.662880Ax: 1023
2025-02-13 14:55:59.663045A1: 494
2025-02-13 14:55:59.663146A0: 179
2025-02-13 14:56:00.686949Ax: 1023
2025-02-13 14:56:00.687189A1: 493
2025-02-13 14:56:00.687379A0: 178
2025-02-13 14:56:01.710773Ax: 1023
2025-02-13 14:56:01.710981A1: 493
2025-02-13 14:56:01.711079A0: 178
2025-02-13 14:56:02.734568Ax: 1023
2025-02-13 14:56:02.737548A1: 494
2025-02-13 14:56:02.737820A0: 178
2025-02-13 14:56:03.758531Ax: 1023
2025-02-13 14:56:03.758811A1: 493
2025-02-13 14:56:03.758919A0: 179
2025-02-13 14:56:04.782257Ax: 1023
2025-02-13 14:56:04.782489A1: 492
2025-02-13 14:56:04.782678A0: 179
2025-02-13 14:56:05.806140Ax: 1023
2025-02-13 14:56:05.806371A1: 493
2025-02-13 14:56:05.806559A0: 179
2025-02-13 14:56:06.830040Ax: 1023
2025-02-13 14:56:06.830275A1: 493
2025-02-13 14:56:06.830466A0: 179
2025-02-13 14:56:07.853893Ax: 1023
2025-02-13 14:56:07.854131A1: 493
2025-02-13 14:56:07.854328A0: 179
2025-02-13 14:56:08.877733Ax: 1023
2025-02-13 14:56:08.877994A1: 493
2025-02-13 14:56:08.878184A0: 180
2025-02-13 14:56:09.901496Ax: 1023
2025-02-13 14:56:09.901790A1: 494
2025-02-13 14:56:09.901988A0: 179
2025-02-13 14:56:10.925421Ax: 1023
2025-02-13 14:56:10.925590A1: 494
2025-02-13 14:56:10.925685A0: 180
2025-02-13 14:56:11.949232Ax: 1023
2025-02-13 14:56:11.949467A1: 495
2025-02-13 14:56:11.949662A0: 179
2025-02-13 14:56:12.972963Ax: 1023
2025-02-13 14:56:12.973200A1: 494
2025-02-13 14:56:12.973385A0: 179
2025-02-13 14:56:13.996694Ax: 1023
2025-02-13 14:56:13.996967A1: 494
2025-02-13 14:56:13.997166A0: 178
2025-02-13 14:56:15.020392Ax: 1023
2025-02-13 14:56:15.020630A1: 494
2025-02-13 14:56:15.020860A0: 179
2025-02-13 14:56:16.044137Ax: 1023
2025-02-13 14:56:16.044372A1: 493
2025-02-13 14:56:16.044475A0: 179
2025-02-13 14:56:17.068024Ax: 1023
2025-02-13 14:56:17.068261A1: 494
2025-02-13 14:56:17.068373A0: 179
2025-02-13 14:56:18.091683Ax: 1023
2025-02-13 14:56:18.094250A1: 495
2025-02-13 14:56:18.094370A0: 178
2025-02-13 14:56:19.115453Ax: 1023
2025-02-13 14:56:19.115676A1: 494
2025-02-13 14:56:19.115918A0: 179
2025-02-13 14:56:20.139220Ax: 1023
2025-02-13 14:56:20.139346A1: 495
2025-02-13 14:56:20.139439A0: 179
2025-02-13 14:56:21.163000Ax: 1023
2025-02-13 14:56:21.163133A1: 495
2025-02-13 14:56:21.163227A0: 179
2025-02-13 14:56:22.186785Ax: 1023
2025-02-13 14:56:22.187024A1: 495
2025-02-13 14:56:22.187134A0: 178
2025-02-13 14:56:23.210555Ax: 1023
2025-02-13 14:56:23.213429A1: 495
2025-02-13 14:56:23.213645A0: 178
2025-02-13 14:56:24.234408Ax: 1023
2025-02-13 14:56:24.234644A1: 495
2025-02-13 14:56:24.234897A0: 179
2025-02-13 14:56:25.258050Ax: 1023
2025-02-13 14:56:25.258284A1: 494
2025-02-13 14:56:25.258472A0: 179
2025-02-13 14:56:26.281934Ax: 1023
2025-02-13 14:56:26.282170A1: 495
2025-02-13 14:56:26.282368A0: 179
2025-02-13 14:56:27.305647Ax: 1023
2025-02-13 14:56:27.305902A1: 495
2025-02-13 14:56:27.305998A0: 179
2025-02-13 14:56:28.329522Ax: 1023
2025-02-13 14:56:28.329856A1: 494
2025-02-13 14:56:28.330052A0: 178
2025-02-13 14:56:29.353137Ax: 1023
2025-02-13 14:56:29.353371A1: 495
2025-02-13 14:56:29.353560A0: 179
2025-02-13 14:56:30.376941Ax: 1023
2025-02-13 14:56:30.377175A1: 494
2025-02-13 14:56:30.377367A0: 179
2025-02-13 14:56:31.400671Ax: 1023
2025-02-13 14:56:31.400965A1: 492
2025-02-13 14:56:31.401155A0: 179
2025-02-13 14:56:32.424448Ax: 1023
2025-02-13 14:56:32.424694A1: 495
2025-02-13 14:56:32.424947A0: 179
2025-02-13 14:56:33.448283Ax: 1023
2025-02-13 14:56:33.448533A1: 495
2025-02-13 14:56:33.448667A0: 179
2025-02-13 14:56:34.472107Ax: 1023
2025-02-13 14:56:34.472342A1: 495
2025-02-13 14:56:34.472530A0: 179
2025-02-13 14:56:35.495866Ax: 1023
2025-02-13 14:56:35.496106A1: 496
2025-02-13 14:56:35.496291A0: 179
2025-02-13 14:56:36.519633Ax: 1023
2025-02-13 14:56:36.519930A1: 494
2025-02-13 14:56:36.520124A0: 179
2025-02-13 14:56:37.543417Ax: 1023
2025-02-13 14:56:37.543543A1: 495
2025-02-13 14:56:37.543641A0: 178
2025-02-13 14:56:38.567235Ax: 1023
2025-02-13 14:56:38.570104A1: 495
2025-02-13 14:56:38.570321A0: 179
2025-02-13 14:56:39.590829Ax: 1023
2025-02-13 14:56:39.591061A1: 494
2025-02-13 14:56:39.591256A0: 178
2025-02-13 14:56:40.615022Ax: 1023
2025-02-13 14:56:40.615254A1: 496
2025-02-13 14:56:40.615379A0: 179
2025-02-13 14:56:41.638618Ax: 1023
2025-02-13 14:56:41.638914A1: 495
2025-02-13 14:56:41.639104A0: 179
2025-02-13 14:56:42.662389Ax: 1023
2025-02-13 14:56:42.662628A1: 494
2025-02-13 14:56:42.662881A0: 180
2025-02-13 14:56:43.686163Ax: 1023
2025-02-13 14:56:43.688392A1: 494
2025-02-13 14:56:43.688508A0: 179
2025-02-13 14:56:44.709952Ax: 1023
2025-02-13 14:56:44.710190A1: 494
2025-02-13 14:56:44.710378A0: 179
2025-02-13 14:56:45.733824Ax: 1023
2025-02-13 14:56:45.734056A1: 493
2025-02-13 14:56:45.734158A0: 179
2025-02-13 14:56:46.757393Ax: 1023
2025-02-13 14:56:46.757623A1: 495
2025-02-13 14:56:46.757879A0: 179
2025-02-13 14:56:47.781138Ax: 1023
2025-02-13 14:56:47.781371A1: 496
2025-02-13 14:56:47.781557A0: 178
2025-02-13 14:56:48.805021Ax: 1023
2025-02-13 14:56:48.808003A1: 495
2025-02-13 14:56:48.808227A0: 178
2025-02-13 14:56:49.828794Ax: 1023
2025-02-13 14:56:49.828982A1: 495
2025-02-13 14:56:49.829080A0: 179
2025-02-13 14:56:50.852572Ax: 1023
2025-02-13 14:56:50.852870A1: 495
2025-02-13 14:56:50.853061A0: 179
2025-02-13 14:56:51.876538Ax: 1023
2025-02-13 14:56:51.876831A1: 494
2025-02-13 14:56:51.877034A0: 178
2025-02-13 14:56:52.900065Ax: 1023
2025-02-13 14:56:52.900298A1: 496
2025-02-13 14:56:52.900492A0: 179
2025-02-13 14:56:53.923947Ax: 1023
2025-02-13 14:56:53.926187A1: 495
2025-02-13 14:56:53.926300A0: 179
2025-02-13 14:56:54.947642Ax: 1023
2025-02-13 14:56:54.947935A1: 494
2025-02-13 14:56:54.948126A0: 177
